DATE	WPU083
1997.83	157.9
1997.92	153.6
1998	152.9
1998.08	153.3
1998.16	151.3
1998.25	152.4
1998.34	151.4
1998.42	151.1
1998.5	159.1
1998.58	167.6
1998.66	170.0
1998.75	156.7
1998.83	160.9
1998.92	161.1
1999	161.6
1999.08	169.3
1999.16	173.0
1999.25	170.2
1999.34	179.1
1999.42	196.9
1999.5	208.3
1999.58	202.1
1999.66	177.8
1999.75	158.7
1999.83	159.5
1999.92	160.8
2000	162.0
2000.08	162.2
2000.16	166.0
2000.25	167.2
2000.34	156.6
2000.42	155.3
2000.5	154.0
2000.58	152.6
2000.66	156.4
2000.75	155.1
2000.83	152.6
2000.92	150.9
2001	147.0
2001.08	145.6
2001.16	148.0
2001.25	147.1
2001.34	165.1
2001.42	166.5
2001.5	156.8
2001.58	163.8
2001.66	161.2
2001.75	151.6
2001.83	150.3
2001.92	148.0
2002	148.3
2002.08	151.5
2002.16	160.3
2002.25	159.3
2002.34	152.3
2002.42	153.3
2002.5	150.6
2002.58	152.4
2002.66	149.7
2002.75	149.3
2002.83	147.3
2002.92	146.3
2003	145.9
2003.08	147.2
2003.16	146.0
2003.25	145.6
2003.34	145.4
2003.42	148.9
2003.5	162.3
2003.58	166.3
2003.66	193.9
2003.75	203.9
2003.83	206.3
2003.92	192.1
2004	174.4
2004.08	202.5
2004.16	218.5
2004.25	222.6
2004.34	224.4
2004.42	200.8
2004.5	178.6
2004.58	203.1
2004.66	208.3
2004.75	189.0
2004.83	173.9
2004.92	185.5
2005	187.0
2005.08	191.5
2005.16	187.8
2005.25	183.8
2005.34	174.0
2005.42	186.3
2005.5	181.9
2005.58	176.8
2005.66	200.1
2005.75	211.6
2005.83	180.7
2005.92	180.2
2006	181.9
2006.08	179.6
2006.16	180.2
2006.25	182.4
2006.34	176.3
2006.42	173.3
2006.5	173.5
2006.58	166.8
2006.66	166.5
2006.75	161.7
2006.83	164.2
2006.92	165.2
2007	168.0
2007.08	169.4
2007.16	170.2
2007.25	172.8
2007.34	177.1
2007.42	179.9
2007.5	181.5
2007.58	181.1
2007.66	180.7
2007.75	177.2
2007.83	177.5
2007.92	177.2
2008	174.3
2008.08	173.0
2008.16	173.3
2008.25	173.2
2008.34	177.8
2008.42	179.3
2008.5	176.2
2008.58	174.9
2008.66	178.5
2008.75	175.3
2008.83	172.5
2008.92	168.6
2009	165.9
2009.08	165.3
2009.16	163.9
2009.25	160.9
2009.34	161.5
2009.42	160.3
2009.5	163.0
2009.58	164.4
2009.66	166.7
2009.75	163.9
2009.83	164.1
2009.92	164.9
2010	164.3
2010.08	168.3
2010.16	172.9
2010.25	188.0
2010.34	195.7
2010.42	186.3
2010.5	181.5
2010.58	177.2
2010.66	174.1
2010.75	171.9
2010.83	169.1
2010.92	170.6
2011	174.1
2011.08	175.7
2011.16	175.0
2011.25	177.7
2011.34	168.7
2011.42	167.2
2011.5	165.2
2011.58	165.8
2011.66	168.6
2011.75	173.2
2011.83	171.1
2011.92	173.2
2012	175.9
2012.08	180.7
2012.16	185.8
2012.25	189.2
2012.34	189.4
2012.42	189.8
2012.5	189.8
2012.58	193.0
2012.66	197.2
2012.75	192.6
2012.83	192.0
2012.92	193.4
2013	198.2
2013.08	200.7
2013.16	204.7
2013.25	207.9
2013.34	206.8
2013.42	200.0
2013.5	193.9
2013.58	197.2
2013.66	197.1
2013.75	197.9
2013.83	196.0
2013.92	194.3
2014	195.1
2014.08	195.0
2014.16	197.5
2014.25	197.2
2014.34	200.9
2014.42	200.1
2014.5	205.3
2014.58	214.7
2014.66	210.9
2014.75	211.6
2014.83	212.0
2014.92	208.6
2015	206.0
2015.08	202.8
2015.16	203.7
2015.25	203.4
2015.34	200.1
2015.42	198.9
2015.5	197.6
2015.58	194.9
2015.66	194.2
2015.75	197.0
2015.83	195.1
2015.92	193.1
2016	193.2
2016.08	190.2
2016.16	190.7
2016.25	191.8
2016.34	191.0
2016.42	194.0
2016.5	196.8
2016.58	198.2
2016.66	194.6
2016.75	191.0
2016.83	187.4
2016.92	188.9
2017	189.9
2017.08	192.4
2017.16	198.6
2017.25	201.7
2017.34	202.5
2017.42	200.2
2017.5	198.6
